"p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
5.6469368137026e-11,-0.370588936311431,0.02,0.164,1.38643592650026e-06
5.81735114803741e-11,-0.259954837007211,0.003,0.073,1.42827605386614e-06
6.00381861766367e-11,-0.0983154725398252,0.003,0.073,1.47405754700879e-06
6.12970143376131e-11,-0.661783867295295,0.098,0.4,1.50496429601708e-06
6.39772050213567e-11,-0.4364057947424,0.088,0.382,1.57076833768435e-06
6.49920964392498e-11,-0.537953398324149,0.045,0.255,1.59568595177646e-06
7.22951897259892e-11,-0.50070771680258,0.029,0.2,1.77499149815249e-06
7.39013076199243e-11,-0.310706595891417,0.009,0.109,1.81442490468438e-06
7.6946798825594e-11,-0.468175428597383,0.04,0.236,1.88919780476598e-06
7.75800532932239e-11,-0.616079625880603,0.103,0.418,1.90474546845523e-06
8.28566624765941e-11,-0.546464126518362,0.109,0.436,2.03429677712534e-06
8.41518331472332e-11,-0.325503008911414,0.009,0.109,2.06609580743087e-06
8.93852537326623e-11,-0.802554578390577,0.134,0.473,2.19458674964432e-06
9.58930219411776e-11,-0.695456420027077,0.059,0.291,2.35436547469979e-06
9.78635669695899e-11,-0.718496870149448,0.239,0.709,2.40274629623737e-06
9.92015802999415e-11,-0.537326253126817,0.046,0.255,2.43559719952416e-06
1.01518203895717e-10,-0.422004954317715,0.021,0.164,2.49247494204765e-06
1.03065146493765e-10,-0.455563381046001,0.021,0.164,2.53045547671491e-06
1.03399900195954e-10,-0.619507371884211,0.053,0.273,2.53867434961107e-06
1.04587136259721e-10,-0.610374319559533,0.181,0.6,2.56782336944866e-06
1.0474009417178e-10,-0.574033105387126,0.09,0.382,2.57157879210553e-06
1.09029248197921e-10,-0.502026175427487,0.016,0.145,2.67688610175535e-06
1.15391790376654e-10,-0.862606149496954,0.137,0.473,2.8330992373276e-06
1.26567447578064e-10,-0.875064525349389,0.417,0.927,3.10748397293662e-06
1.29930154529916e-10,-0.580504786916746,0.078,0.345,3.19004515401849e-06
1.30039456340364e-10,-0.571245258355996,0.181,0.6,3.19272873206863e-06
1.38094983041428e-10,-0.398996911360067,0.096,0.4,3.39050802363314e-06
1.49262422100571e-10,-0.487576133711347,0.064,0.309,3.66469098741322e-06
1.49573019535148e-10,-0.379080918682353,0.064,0.309,3.67231677562694e-06
1.52263935669228e-10,-0.519038622187893,0.164,0.564,3.73838414855088e-06
1.53290469276673e-10,-0.671258943993016,0.197,0.618,3.76358760168087e-06
1.54041417942225e-10,-1.03484344584988,0.11,0.418,3.78202489331751e-06
1.596686185191e-10,-0.765635878312975,0.067,0.309,3.92018392188094e-06
1.61025174649438e-10,-0.509338785864783,0.09,0.382,3.953490087993e-06
1.76254493433679e-10,-0.638256488955756,0.303,0.818,4.32740032278369e-06
1.76544396180913e-10,-0.799640646355535,0.341,0.836,4.33451801503378e-06
1.78806899248852e-10,-0.476554144398111,0.053,0.273,4.39006699035781e-06
1.79552662377107e-10,-0.380555349086465,0.036,0.218,4.40837696668273e-06
1.83742018960768e-10,-0.444487496339439,0.047,0.255,4.51123404952478e-06
1.85971293430234e-10,-0.517868877685228,0.121,0.455,4.56596719629912e-06
1.87871884473621e-10,-0.497551864522643,0.053,0.273,4.61263050759634e-06
1.93859835254334e-10,-0.589226259176562,0.121,0.455,4.7596466751644e-06
1.95603511887663e-10,-0.650794511544665,0.026,0.182,4.80245742386591e-06
2.16776065958e-10,-0.586702258660132,0.1,0.4,5.32228597140082e-06
2.20220369216845e-10,-0.4880990639717,0.013,0.127,5.40685050501197e-06
2.4996037161522e-10,-0.373066981279313,0.013,0.127,6.13702704389688e-06
2.50221055210033e-10,-0.4120764030988,0.031,0.2,6.14342734751673e-06
2.64195952055218e-10,-0.530779996783642,0.086,0.364,6.48653901485972e-06
2.7067540886927e-10,-0.489431811195234,0.105,0.418,6.64562263855832e-06
2.81501914736929e-10,-0.540561287215577,0.114,0.436,6.91143501062107e-06
2.85089075293899e-10,-0.657547526383623,0.172,0.564,6.99950697661581e-06
2.98139652487974e-10,-0.437699125244998,0.017,0.145,7.31992474788475e-06
2.98169583715227e-10,-0.356292208364593,0.01,0.109,7.32065961937625e-06
3.06508300940804e-10,-0.482033509044152,0.036,0.218,7.52539180469862e-06
3.07081664702951e-10,-0.705832855858803,0.111,0.418,7.53946903178685e-06
3.07765094852989e-10,-0.590469802599623,0.042,0.236,7.55624860883059e-06
3.10628145433827e-10,-0.359788945605454,0.01,0.109,7.62654222669133e-06
3.23596741778096e-10,-0.54697506153731,0.073,0.327,7.94494720413582e-06
3.24884222652698e-10,-0.575876110508571,0.048,0.255,7.97655743456905e-06
3.41565939592604e-10,-0.792378866805893,0.235,0.655,8.38612694887761e-06
3.45349224768035e-10,-0.488863435459691,0.101,0.4,8.4790141665048e-06
3.5272612530926e-10,-0.588635091093773,0.055,0.273,8.66013182859295e-06
3.60627407848644e-10,-0.640326509541116,0.124,0.455,8.8541241174999e-06
3.69114757183816e-10,-0.713821962877403,0.415,0.945,9.06250551837706e-06
3.90445194645852e-10,-0.294519784581343,0.042,0.236,9.58621041894495e-06
4.07364802757955e-10,-0.528143273830856,0.022,0.164,1.00016206373133e-05
4.5141050600389e-10,-0.399776055984847,0.031,0.2,1.10830307434075e-05
4.52084475473333e-10,-0.446719976356866,0.073,0.327,1.10995780418213e-05
4.58048212704564e-10,-0.486682257790183,0.121,0.455,1.12459997183224e-05
4.64675685265521e-10,-0.421565385773998,0.037,0.218,1.14087174246391e-05
4.70252203338453e-10,-0.807442277605136,0.406,0.909,1.15456320963657e-05
5.17390880605389e-10,-0.388130385461661,0.037,0.218,1.27029809006235e-05
5.18624104859622e-10,-0.745256553782554,0.113,0.418,1.27332590225134e-05
5.26409156317703e-10,-0.575228657050497,0.074,0.327,1.29243976059123e-05
5.34032644180419e-10,-0.621535356909734,0.075,0.327,1.31115694799176e-05
5.35218648726807e-10,-0.40822701824334,0.037,0.218,1.31406882635406e-05
